playerId,name,status,tm_id,tm_name,score,fields,tm_url,expected_club,tm_club
338267,João Miguel Ribeiro Vigário,low_confidence,336735.0,João Vigário,105.0,"name,age±1,club:Fafe",https://www.transfermarkt.com/joao-vigario/profil/spieler/336735,Fafe,AD Fafe
343289,Tito Cabral Júnior,low_confidence,597206.0,Tito Júnior,96.7,"name,age±1",https://www.transfermarkt.com/tito-junior/profil/spieler/597206,Atlético CP,Gondomar SC
343290,Jardel Rodrigues Afonso Nazaré,low_confidence,364412.0,Jardel Nazaré,80.0,"name,age±1",https://www.transfermarkt.com/jardel-nazare/profil/spieler/364412,União Santarém,Retired
343291,Tiago Bettencourt de Oliveira Correia,low_confidence,559402.0,Tiago Correia,70.0,"name,age±1",https://www.transfermarkt.com/tiago-correia/profil/spieler/559402,Amora,Louletano DC
343303,P. Machado,no_match,,,,,,,
343305,Octávio Alexandre Leal Barros,low_confidence,203447.0,Tavinho,30.0,"name,age±1",https://www.transfermarkt.com/tavinho/profil/spieler/203447,Alverca,LGC Moncarapachense
343318,João Edgar  Azevedo Nunes Almeida,no_match,,,,,,,
343319,Alexandre Sousa Costa Pardal,low_confidence,595554.0,Pardal,55.0,"name,age±1",https://www.transfermarkt.com/pardal/profil/spieler/595554,Sanjoanense,Quarteirense Futebol SAD
343352,Pedro Miguel de Sousa Rego,low_confidence,364904.0,Totas,30.0,"name,age±1",https://www.transfermarkt.com/totas/profil/spieler/364904,Pevidém,Rebordosa AC
343372,Sandro Rafael Ferreira Costa,low_confidence,316126.0,Sandro Costa,80.0,"name,age±1",https://www.transfermarkt.com/sandro-costa/profil/spieler/316126,Vianense,Retired
343376,José Henrique Ferreira Oliveira,low_confidence,402741.0,Zé Oliveira,75.0,"name,age±1,club:Fafe",https://www.transfermarkt.com/ze-oliveira/profil/spieler/402741,Fafe,AD Fafe
343410,Miguel Bandarra Rodrigues,matched,647129.0,Miguel Bandarra,171.7,"name,age±1,club:CF Os Belenenses",https://www.transfermarkt.com/miguel-bandarra/profil/spieler/647129,CF Os Belenenses,CF Os Belenenses
343416,Nuno Miguel Pereira da Silva,low_confidence,1064151.0,Nuno Silva,70.0,"name,age±1",https://www.transfermarkt.com/nuno-silva/profil/spieler/1064151,Moncarapachense,FC Ferreiras
343420,Ibrahim Coulibaly,matched,178317.0,Ibrahim Coulibaly,130.0,"name,age±1",https://www.transfermarkt.com/ibrahim-coulibaly/profil/spieler/178317,Oliveira Hospital,Unknown
343443,Nuno Miguel  Adro Tomás,no_match,,,,,,,
343468,Jordanes Fernando Sousa Medeiros,low_confidence,393437.0,Jordanes,55.0,"name,age±1",https://www.transfermarkt.com/jordanes/profil/spieler/393437,Fontinhas,JD Lajense
343476,Pedrinho,low_confidence,515208.0,Pedrinho,100.0,name,https://www.transfermarkt.com/pedrinho/profil/spieler/515208,Pevidém,Shakhtar Donetsk
343498,Belarmino Semedo Lopes Tavares,low_confidence,352795.0,Bela Tavares,50.0,"name,age±1",https://www.transfermarkt.com/bela-tavares/profil/spieler/352795,Paredes,FC Alpendorada
343546,Pedro Miguel Garcia Faustino,low_confidence,361741.0,Pedro Faustino,80.0,"name,age±1",https://www.transfermarkt.com/pedro-faustino/profil/spieler/361741,Caldas,SC Leiria e Marrazes
343557,João Vasco,matched,514019.0,João Vasco,175.0,"name,club:Lusitania FC Lourosa",https://www.transfermarkt.com/joao-vasco/profil/spieler/514019,Lusitania FC Lourosa,Lusitânia FC Lourosa
343563,José Carlos Freitas Fernandes,low_confidence,352989.0,Costinha,30.0,"name,age±1",https://www.transfermarkt.com/costinha/profil/spieler/352989,Pevidém,GDRC Os Sandinenses
343577,B. Sow,no_match,,,,,,,
343584,André Lopes Matos Galamba,low_confidence,710253.0,André Galamba,80.0,"name,age±1",https://www.transfermarkt.com/andre-galamba/profil/spieler/710253,Pêro Pinheiro,Clube Oriental Lissabon
344018,Fidelis Christopher Irhene,low_confidence,344394.0,Fidelis Irhene,96.7,"name,age±1",https://www.transfermarkt.com/fidelis-irhene/profil/spieler/344394,Amora,GD Marinhais
344019,João Pedro Pinto Cardoso,low_confidence,344398.0,João Cardoso,80.0,"name,age±1",https://www.transfermarkt.com/joao-cardoso/profil/spieler/344398,Oliveira Hospital,Without Club
344691,Miguel Ângelo Perez Lopes,low_confidence,339705.0,Chekie,55.0,"name,age±1,club:Amora",https://www.transfermarkt.com/chekie/profil/spieler/339705,Amora,Amora FC
345645,Gonçalo Gregório,low_confidence,404156.0,Gonçalo Gregório,100.0,name,https://www.transfermarkt.com/goncalo-gregorio/profil/spieler/404156,União de Leiria,FC Noah Yerevan
345712,O. Osemene,no_match,,,,,,,
345736,Carlos Reinaldo Moreira Alves,low_confidence,337795.0,Carlos Alves,105.0,"name,age±1,club:Académica",https://www.transfermarkt.com/carlos-alves/profil/spieler/337795,Académica,Académica Coimbra
345743,João Tavares,low_confidence,91647.0,Joao Tavares,100.0,name,https://www.transfermarkt.com/joao-tavares/profil/spieler/91647,CF Os Belenenses,Retired
345747,João Vaz Mendes,low_confidence,337806.0,João Mendes,96.7,"name,age±1",https://www.transfermarkt.com/joao-mendes/profil/spieler/337806,Oliveira Hospital,Juventude Évora SC
345749,J. Pereira,no_match,,,,,,,
348070,Pedro José de Moura Duarte Pinto,low_confidence,689117.0,Pedro Pinto,63.3,"name,age±1",https://www.transfermarkt.com/pedro-pinto/profil/spieler/689117,Atlético CP,SC Beira-Mar
348076,Fábio Mutaro Baldé,low_confidence,570227.0,Fábio Baldé,96.7,"name,age±1",https://www.transfermarkt.com/fabio-balde/profil/spieler/570227,São João Ver,Leça FC
348294,André Filipe Poupinha Sequeira Serra,no_match,,,,,,,
348298,Hélder Almeida,matched,640842.0,Hélder Almeida,125.0,"name,club:Oliveira Hospital",https://www.transfermarkt.com/helder-almeida/profil/spieler/640842,Oliveira Hospital,GD Oliveira Frades
349051,Gustavo Tocantins,low_confidence,346767.0,Gustavo Tocantins,100.0,name,https://www.transfermarkt.com/gustavo-tocantins/profil/spieler/346767,Anadia,PSS Sleman
350608,Bernardo Campos Curvo Félix Prego,low_confidence,586850.0,Benny,105.0,"name,age±1,club:Lusitano Évora 1911",https://www.transfermarkt.com/benny/profil/spieler/586850,Lusitano Évora 1911,Associação Lusitano de Évora 1911
350612,Sérgio Miguel Velosa Pereira,low_confidence,375385.0,Miguel Velosa,80.0,"name,age±1",https://www.transfermarkt.com/miguel-velosa/profil/spieler/375385,Caldas,FC Urartu Yerevan
351847,Ricardo Almeida Ribeiro,low_confidence,374778.0,Ricardo Almeida,96.7,"name,age±1",https://www.transfermarkt.com/ricardo-almeida/profil/spieler/374778,Fontinhas,Brito SC
351848,Marco Ribeiro,matched,352558.0,Marco Ribeiro,175.0,"name,club:Lusitania FC Lourosa",https://www.transfermarkt.com/marco-ribeiro/profil/spieler/352558,Lusitania FC Lourosa,Lusitânia FC Lourosa
351849,André Filipe Carneiro Leal,no_match,,,,,,,
351853,Rui Batalha,low_confidence,353212.0,Rui Batalha,100.0,name,https://www.transfermarkt.com/rui-batalha/profil/spieler/353212,1º Dezembro,FA Siauliai
351856,João Miguel Silva Paxim Monteiro,low_confidence,372496.0,João Monteiro,70.0,"name,age±1",https://www.transfermarkt.com/joao-monteiro/profil/spieler/372496,União Santarém,Botafogo FC Cabanas
351893,Diogo Martins,low_confidence,548332.0,Diogo Martins,100.0,name,https://www.transfermarkt.com/diogo-martins/profil/spieler/548332,Alverca,UD Leiria
351917,Carlos Manuel Lobo Pires Semedo,low_confidence,337978.0,Ká Semedo,71.7,"name,age±1,club:Fafe",https://www.transfermarkt.com/ka-semedo/profil/spieler/337978,Fafe,AD Fafe
351923,Gonçalo Garcias Neves Maria,low_confidence,342239.0,Gonçalo Maria,80.0,"name,age±1",https://www.transfermarkt.com/goncalo-maria/profil/spieler/342239,CF Os Belenenses,Associação Naval 1893
351924,Fábio Santos Ferreira,matched,396578.0,Fábio Ferreira,146.7,"name,age±1,club:Atlético CP",https://www.transfermarkt.com/fabio-ferreira/profil/spieler/396578,Atlético CP,Atlético CP
